BET-BK
12/8/2023
Periodical adjustment
TLV|BANCA TRANSILVANIA S.A.|798658233|23.3400|1.00|0.066353|1.000000|1.00|7.25
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|126.4000|0.20|0.108773|1.000000|1.00|7.25
SNP|OMV PETROM S.A.|62311667058|0.5600|0.30|0.118152|1.000000|1.00|7.25
EBS|Erste Group Bank AG|429800000|183.0000|0.80|0.026209|1.000000|0.75|7.25
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|49.2500|0.20|0.269868|1.000000|1.00|4.70
M|MedLife S.A.|531481968|4.2000|0.70|0.684203|1.000000|0.75|4.70
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|19.2200|0.50|0.442915|1.000000|1.00|4.70
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|346443597|10.5200|0.40|0.550014|1.000000|1.00|4.70
TTS|TTS (TRANSPORT TRADE SERVICES)|60000000|27.0000|0.70|0.942774|1.000000|0.75|4.70
ONE|ONE UNITED PROPERTIES|3797654315|0.9600|0.40|0.733118|1.000000|0.75|4.70
DIGI|Digi Communications N.V.|100000000|41.9000|0.40|0.637891|1.000000|0.75|4.70
SNG|S.N.G.N. ROMGAZ S.A.|385422400|49.8500|0.30|0.139110|1.000000|1.00|4.70
FP|FONDUL PROPRIETATEA|5668806128|0.4925|0.60|0.478666|1.000000|1.00|4.70
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|17.4800|0.40|0.164554|1.000000|1.00|4.70
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|29.5000|0.40|1.000000|1.000000|0.75|3.80
EVER|EVERGENT INVESTMENTS S.A.|961753592|1.2750|1.00|1.000000|1.000000|0.50|3.59
TRP|TERAPLAST SA|2179000358|0.4800|0.60|1.000000|1.000000|0.75|2.76
INFINITY|INFINITY CAPITAL INVESTMENTS S.A.|500000000|1.8300|1.00|1.000000|1.000000|0.50|2.68
WINE|PURCARI WINERIES PUBLIC COMPANY LIMITED|40117500|13.9000|0.80|1.000000|1.000000|0.75|1.96
LION|LION CAPITAL S.A.|507510056|2.4900|1.00|1.000000|1.000000|0.25|1.85
BVB|BURSA DE VALORI BUCURESTI SA|8049246|68.0000|1.00|1.000000|1.000000|0.50|1.60
AQ|AQUILA PART PROD COM|1200002400|0.8900|0.40|1.000000|1.000000|0.50|1.25
SFG|Sphera Franchise Group|38799340|23.7000|0.40|1.000000|1.000000|0.50|1.08
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3040|1.00|1.000000|1.000000|0.25|0.96
COTE|CONPET SA|8657528|80.0000|0.40|1.000000|1.000000|0.50|0.81
ATB|ANTIBIOTICE S.A.|671338040|1.4350|0.50|1.000000|1.000000|0.25|0.71
ALR|ALRO S.A.|713779135|1.5300|0.30|1.000000|1.000000|0.25|0.48
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.2760|0.50|1.000000|1.000000|0.50|0.26
ROCE|ROMCARBON SA|528244192|0.2070|0.40|1.000000|1.000000|0.50|0.13
BRK|SSIF BRK FINANCIAL GROUP SA|337429952|0.1575|0.90|1.000000|1.000000|0.25|0.07

BET-BK
12/8/2023
Operational adjustment INFINITY
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|126.4000|0.20|0.113508|1.000000|1.00|7.55
EBS|Erste Group Bank AG|429800000|183.0000|0.80|0.026309|1.000000|0.75|7.26
SNP|OMV PETROM S.A.|62311667058|0.5600|0.30|0.118088|1.000000|1.00|7.23
TLV|BANCA TRANSILVANIA S.A.|798658233|23.3400|1.00|0.066095|1.000000|1.00|7.20
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|346443597|10.5200|0.40|0.588574|1.000000|1.00|5.02
TTS|TTS (TRANSPORT TRADE SERVICES)|60000000|27.0000|0.70|1.000000|1.000000|0.75|4.97
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|19.2200|0.50|0.459641|1.000000|1.00|4.87
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|49.2500|0.20|0.274954|1.000000|1.00|4.78
SNG|S.N.G.N. ROMGAZ S.A.|385422400|49.8500|0.30|0.139204|1.000000|1.00|4.69
DIGI|Digi Communications N.V.|100000000|41.9000|0.40|0.635257|1.000000|0.75|4.67
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|17.4800|0.40|0.162457|1.000000|1.00|4.63
M|MedLife S.A.|531481968|4.2000|0.70|0.663719|1.000000|0.75|4.55
ONE|ONE UNITED PROPERTIES|3797654315|0.9600|0.40|0.701371|1.000000|0.75|4.48
FP|FONDUL PROPRIETATEA|6217825213|0.4925|0.80|0.290866|1.000000|1.00|4.17
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|29.5000|0.40|1.000000|1.000000|0.75|3.79
EVER|EVERGENT INVESTMENTS S.A.|961753592|1.2750|1.00|1.000000|1.000000|0.50|3.58
TRP|TERAPLAST SA|2179000358|0.4800|0.60|1.000000|1.000000|0.75|2.75
INFINITY|INFINITY CAPITAL INVESTMENTS S.A.|500000000|1.8300|1.00|1.000000|1.000000|0.50|2.67
WINE|PURCARI WINERIES PUBLIC COMPANY LIMITED|40117500|13.9000|0.80|1.000000|1.000000|0.75|1.96
LION|LION CAPITAL S.A.|507510056|2.4900|1.00|1.000000|1.000000|0.25|1.85
BVB|BURSA DE VALORI BUCURESTI SA|8049246|68.0000|1.00|1.000000|1.000000|0.50|1.60
AQ|AQUILA PART PROD COM|1200002400|0.8900|0.40|1.000000|1.000000|0.50|1.25
SFG|Sphera Franchise Group|38799340|23.7000|0.40|1.000000|1.000000|0.50|1.08
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3040|1.00|1.000000|1.000000|0.25|0.96
COTE|CONPET SA|8657528|80.0000|0.40|1.000000|1.000000|0.50|0.81
ATB|ANTIBIOTICE S.A.|671338040|1.4350|0.50|1.000000|1.000000|0.25|0.70
ALR|ALRO S.A.|713779135|1.5300|0.30|1.000000|1.000000|0.25|0.48
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.2760|0.50|1.000000|1.000000|0.50|0.26
ROCE|ROMCARBON SA|264122096|0.2070|0.40|1.000000|2.000000|0.50|0.13
BRK|SSIF BRK FINANCIAL GROUP SA|337429952|0.1575|1.00|1.000000|1.000000|0.25|0.08

BET-BK
11/17/2023
Operational adjustment 
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|118.9000|0.20|0.113508|1.000000|1.00|7.25
SNP|OMV PETROM S.A.|62311667058|0.5500|0.30|0.118088|1.000000|1.00|7.25
TLV|BANCA TRANSILVANIA S.A.|798658233|23.0000|1.00|0.066095|1.000000|1.00|7.25
