BET-XT
3/7/2025
Periodical adjustment
TLV|BANCA TRANSILVANIA S.A.|916879846|28.9000|1.00|0.406000|1.000000|1.00|15.00
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|121.4000|0.20|0.985000|1.000000|1.00|15.00
SNP|OMV PETROM S.A.|62311667058|0.7500|0.30|0.767000|1.000000|1.00|14.99
SNG|S.N.G.N. ROMGAZ S.A.|3854224000|5.9200|0.30|1.000000|1.000000|1.00|9.54
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|18.2200|0.40|1.000000|1.000000|1.00|7.08
DIGI|Digi Communications N.V.|100000000|67.8000|0.40|1.000000|1.000000|1.00|3.78
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|28.6500|0.50|1.000000|1.000000|1.00|3.76
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|41.1000|0.20|1.000000|1.000000|1.00|3.46
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|339553004|13.7000|0.50|1.000000|1.000000|1.00|3.24
M|MedLife S.A.|531481968|6.1500|0.70|1.000000|1.000000|1.00|3.19
LION|LION CAPITAL S.A.|507510056|2.7900|1.00|1.000000|1.000000|1.00|1.97
LONG|LONGSHIELD INVESTMENT GROUP S.A.|761105845|1.8500|1.00|1.000000|1.000000|1.00|1.96
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|45.9000|0.40|1.000000|1.000000|1.00|1.88
EVER|EVERGENT INVESTMENTS S.A.|909028592|1.4200|1.00|1.000000|1.000000|1.00|1.80
INFINITY|INFINITY CAPITAL INVESTMENTS S.A.|475000000|2.3600|1.00|1.000000|1.000000|1.00|1.56
FP|FONDUL PROPRIETATEA|3556427239|0.3576|0.80|1.000000|1.000000|1.00|1.42
ONE|ONE UNITED PROPERTIES|110583102|19.9800|0.40|1.000000|1.000000|1.00|1.23
AQ|AQUILA PART PROD COM|1200002400|1.4100|0.50|1.000000|1.000000|1.00|1.18
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3850|1.00|1.000000|1.000000|1.00|1.16
ATB|ANTIBIOTICE S.A.|671338040|2.4200|0.50|1.000000|1.000000|1.00|1.13
PE|Premier Energy PLC|125001250|19.2000|0.30|1.000000|1.000000|1.00|1.00
SFG|Sphera Franchise Group|38799340|41.3000|0.40|1.000000|1.000000|1.00|0.89
TTS|TTS (TRANSPORT TRADE SERVICES)|180000000|4.7000|0.70|1.000000|1.000000|1.00|0.83
TRP|TERAPLAST SA|2401200358|0.4205|0.50|1.000000|1.000000|1.00|0.70
WINE|PURCARI WINERIES PUBLIC COMPANY LIMITED|40353294|14.6800|0.80|1.000000|1.000000|1.00|0.66
BVB|BURSA DE VALORI BUCURESTI SA|8854170|40.6000|1.00|1.000000|1.000000|1.00|0.50
AROBS|AROBS TRANSILVANIA SOFTWARE|1045552330|0.6820|0.40|1.000000|1.000000|1.00|0.40
COTE|CONPET SA|8657528|77.4000|0.40|1.000000|1.000000|1.00|0.37
IMP|IMPACT DEVELOPER & CONTRACTOR S.A.|2364941410|0.2090|0.30|1.000000|1.000000|1.00|0.21
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.1720|0.60|1.000000|1.000000|1.00|0.09

BET-XT
2/4/2025
Operational adjustment ONE
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|122.7000|0.20|0.926000|1.000000|1.00|14.94
SNP|OMV PETROM S.A.|62311667058|0.7280|0.30|0.744000|1.000000|1.00|14.80
TLV|BANCA TRANSILVANIA S.A.|916879846|27.3500|1.00|0.395000|1.000000|1.00|14.48
SNG|S.N.G.N. ROMGAZ S.A.|3854224000|5.3900|0.30|1.000000|1.000000|1.00|9.11
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|18.2200|0.40|1.000000|1.000000|1.00|7.42
DIGI|Digi Communications N.V.|100000000|64.2000|0.40|1.000000|1.000000|1.00|3.75
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|40.7500|0.20|1.000000|1.000000|1.00|3.59
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|339553004|14.1200|0.50|1.000000|1.000000|1.00|3.50
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|23.9500|0.50|1.000000|1.000000|1.00|3.30
M|MedLife S.A.|531481968|5.7600|0.70|1.000000|1.000000|1.00|3.13
LION|LION CAPITAL S.A.|507510056|2.8200|1.00|1.000000|1.000000|1.00|2.09
LONG|LONGSHIELD INVESTMENT GROUP S.A.|761105845|1.8500|1.00|1.000000|1.000000|1.00|2.06
EVER|EVERGENT INVESTMENTS S.A.|909028592|1.4500|1.00|1.000000|1.000000|1.00|1.93
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|41.4000|0.40|1.000000|1.000000|1.00|1.77
INFINITY|INFINITY CAPITAL INVESTMENTS S.A.|475000000|2.4200|1.00|1.000000|1.000000|1.00|1.68
FP|FONDUL PROPRIETATEA|3556427239|0.3470|0.80|1.000000|1.000000|1.00|1.44
ONE|ONE UNITED PROPERTIES|5529155064|21.2000|0.40|1.000000|0.020000|1.00|1.37
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3930|1.00|1.000000|1.000000|1.00|1.24
ATB|ANTIBIOTICE S.A.|671338040|2.3600|0.50|1.000000|1.000000|1.00|1.16
PE|Premier Energy PLC|125001250|19.3000|0.30|1.000000|1.000000|1.00|1.06
AQ|AQUILA PART PROD COM|1200002400|1.1700|0.50|1.000000|1.000000|1.00|1.03
TTS|TTS (TRANSPORT TRADE SERVICES)|180000000|5.0600|0.70|1.000000|1.000000|1.00|0.93
SFG|Sphera Franchise Group|38799340|39.7000|0.40|1.000000|1.000000|1.00|0.90
TRP|TERAPLAST SA|2401200358|0.4200|0.60|1.000000|1.000000|1.00|0.88
WINE|PURCARI WINERIES PUBLIC COMPANY LIMITED|40353294|14.3600|0.90|1.000000|1.000000|1.00|0.76
BVB|BURSA DE VALORI BUCURESTI SA|8854170|42.3000|1.00|1.000000|1.000000|1.00|0.55
AROBS|AROBS TRANSILVANIA SOFTWARE|1045552330|0.7200|0.40|1.000000|1.000000|1.00|0.44
COTE|CONPET SA|8657528|77.2000|0.40|1.000000|1.000000|1.00|0.39
IMP|IMPACT DEVELOPER & CONTRACTOR S.A.|2364941410|0.1890|0.30|1.000000|1.000000|1.00|0.20
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.1700|0.60|1.000000|1.000000|1.00|0.09

BET-XT
12/6/2024
Periodical adjustment
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|120.3000|0.20|0.926000|1.000000|1.00|14.99
SNP|OMV PETROM S.A.|62311667058|0.7205|0.30|0.744000|1.000000|1.00|14.99
TLV|BANCA TRANSILVANIA S.A.|916879846|27.6500|1.00|0.395000|1.000000|1.00|14.98
SNG|S.N.G.N. ROMGAZ S.A.|3854224000|5.2500|0.30|1.000000|1.000000|1.00|9.08
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|18.3000|0.40|1.000000|1.000000|1.00|7.63
DIGI|Digi Communications N.V.|100000000|63.0000|0.40|1.000000|1.000000|1.00|3.77
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|40.7000|0.20|1.000000|1.000000|1.00|3.67
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|339553004|12.5800|0.50|1.000000|1.000000|1.00|3.19
M|MedLife S.A.|531481968|5.6400|0.70|1.000000|1.000000|1.00|3.14
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|21.7500|0.50|1.000000|1.000000|1.00|3.06
LION|LION CAPITAL S.A.|507510056|2.7800|1.00|1.000000|1.000000|1.00|2.11
LONG|LONGSHIELD INVESTMENT GROUP S.A.|761105845|1.7250|1.00|1.000000|1.000000|1.00|1.96
EVER|EVERGENT INVESTMENTS S.A.|909028592|1.4300|1.00|1.000000|1.000000|1.00|1.94
INFINITY|INFINITY CAPITAL INVESTMENTS S.A.|475000000|2.3700|1.00|1.000000|1.000000|1.00|1.68
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|38.0000|0.40|1.000000|1.000000|1.00|1.67
ATB|ANTIBIOTICE S.A.|671338040|2.6700|0.50|1.000000|1.000000|1.00|1.34
ONE|ONE UNITED PROPERTIES|5529155064|0.4000|0.40|1.000000|1.000000|1.00|1.32
FP|FONDUL PROPRIETATEA|3556427239|0.2920|0.80|1.000000|1.000000|1.00|1.24
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3550|1.00|1.000000|1.000000|1.00|1.15
PE|Premier Energy PLC|125001250|19.3000|0.30|1.000000|1.000000|1.00|1.08
AQ|AQUILA PART PROD COM|1200002400|1.1900|0.50|1.000000|1.000000|1.00|1.07
SFG|Sphera Franchise Group|38799340|37.5000|0.40|1.000000|1.000000|1.00|0.87
TRP|TERAPLAST SA|2401200358|0.3940|0.60|1.000000|1.000000|1.00|0.85
WINE|PURCARI WINERIES PUBLIC COMPANY LIMITED|40353294|14.4400|0.90|1.000000|1.000000|1.00|0.78
TTS|TTS (TRANSPORT TRADE SERVICES)|180000000|3.9100|0.70|1.000000|1.000000|1.00|0.74
BVB|BURSA DE VALORI BUCURESTI SA|8854170|43.6000|1.00|1.000000|1.000000|1.00|0.58
AROBS|AROBS TRANSILVANIA SOFTWARE|1045552330|0.6860|0.40|1.000000|1.000000|1.00|0.43
COTE|CONPET SA|8657528|73.6000|0.40|1.000000|1.000000|1.00|0.38
IMP|IMPACT DEVELOPER & CONTRACTOR S.A.|2364941410|0.1925|0.30|1.000000|1.000000|1.00|0.20
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.1650|0.60|1.000000|1.000000|1.00|0.09

BET-XT
10/18/2024
Operational adjustment LONG
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|122.7000|0.20|1.000000|1.000000|1.00|15.03
SNP|OMV PETROM S.A.|62311667058|0.7215|0.30|0.816000|1.000000|1.00|14.98
TLV|BANCA TRANSILVANIA S.A.|916879846|27.6000|1.00|0.433000|1.000000|1.00|14.92
SNG|S.N.G.N. ROMGAZ S.A.|3854224000|5.4200|0.30|1.000000|1.000000|1.00|8.53
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|20.6500|0.40|1.000000|1.000000|1.00|7.84
DIGI|Digi Communications N.V.|100000000|66.8000|0.40|1.000000|1.000000|1.00|3.64
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|43.1000|0.20|1.000000|1.000000|1.00|3.54
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|339553004|13.2800|0.50|1.000000|1.000000|1.00|3.07
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|23.9000|0.50|1.000000|1.000000|1.00|3.06
M|MedLife S.A.|531481968|5.7900|0.70|1.000000|1.000000|1.00|2.93
LION|LION CAPITAL S.A.|507510056|2.8500|1.00|1.000000|1.000000|1.00|1.97
EVER|EVERGENT INVESTMENTS S.A.|961753592|1.4700|1.00|1.000000|1.000000|1.00|1.92
LONG|LONGSHIELD INVESTMENT GROUP S.A.|784645201|1.7450|1.00|1.000000|1.000000|1.00|1.86
ONE|ONE UNITED PROPERTIES|3828857517|0.5140|0.50|1.000000|1.315274|1.00|1.76
INFINITY|INFINITY CAPITAL INVESTMENTS S.A.|500000000|2.4100|1.00|1.000000|1.000000|1.00|1.64
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|38.5000|0.40|1.000000|1.000000|1.00|1.54
FP|FONDUL PROPRIETATEA|3556427239|0.3414|0.90|1.000000|1.000000|1.00|1.49
ATB|ANTIBIOTICE S.A.|671338040|3.1300|0.50|1.000000|1.000000|1.00|1.43
TTS|TTS (TRANSPORT TRADE SERVICES)|180000000|7.0700|0.70|1.000000|1.000000|1.00|1.21
AQ|AQUILA PART PROD COM|1200002400|1.3950|0.50|1.000000|1.000000|1.00|1.14
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3740|1.00|1.000000|1.000000|1.00|1.10
PE|Premier Energy PLC|125001250|20.3800|0.30|1.000000|1.000000|1.00|1.04
TRP|TERAPLAST SA|2179000358|0.4870|0.60|1.000000|1.000000|1.00|0.87
SFG|Sphera Franchise Group|38799340|40.8000|0.40|1.000000|1.000000|1.00|0.86
WINE|PURCARI WINERIES PUBLIC COMPANY LIMITED|40353294|15.1400|0.90|1.000000|1.000000|1.00|0.75
AROBS|AROBS TRANSILVANIA SOFTWARE|1045552330|0.8700|0.50|1.000000|1.000000|1.00|0.62
BVB|BURSA DE VALORI BUCURESTI SA|8049246|49.3500|1.00|1.000000|1.100000|1.00|0.59
COTE|CONPET SA|8657528|77.2000|0.40|1.000000|1.000000|1.00|0.36
IMP|IMPACT DEVELOPER & CONTRACTOR S.A.|2365679951|0.2080|0.30|1.000000|1.000000|1.00|0.20
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.1940|0.60|1.000000|1.000000|1.00|0.10

BET-XT
9/6/2024
Periodical adjustment
TLV|BANCA TRANSILVANIA S.A.|916879846|27.6000|1.00|0.433000|1.000000|1.00|15.00
SNP|OMV PETROM S.A.|62311667058|0.7180|0.30|0.816000|1.000000|1.00|14.99
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|121.0000|0.20|1.000000|1.000000|1.00|14.90
SNG|S.N.G.N. ROMGAZ S.A.|3854224000|5.4800|0.30|1.000000|1.000000|1.00|8.67
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|20.6000|0.40|1.000000|1.000000|1.00|7.86
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|42.6000|0.20|1.000000|1.000000|1.00|3.52
DIGI|Digi Communications N.V.|100000000|63.2000|0.40|1.000000|1.000000|1.00|3.46
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|339553004|13.6400|0.50|1.000000|1.000000|1.00|3.17
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|23.0000|0.50|1.000000|1.000000|1.00|2.97
M|MedLife S.A.|531481968|5.6500|0.70|1.000000|1.000000|1.00|2.88
ONE|ONE UNITED PROPERTIES|3828857517|0.6060|0.50|1.000000|1.315274|1.00|2.09
LION|LION CAPITAL S.A.|507510056|2.7500|1.00|1.000000|1.000000|1.00|1.91
EVER|EVERGENT INVESTMENTS S.A.|961753592|1.4350|1.00|1.000000|1.000000|1.00|1.89
SIF4|LONGSHIELD INVESTMENT GROUP S.A.|784645201|1.7350|1.00|1.000000|1.000000|1.00|1.86
FP|FONDUL PROPRIETATEA|3556427239|0.3850|0.90|1.000000|1.000000|1.00|1.69
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|41.9500|0.40|1.000000|1.000000|1.00|1.68
INFINITY|INFINITY CAPITAL INVESTMENTS S.A.|500000000|2.2100|1.00|1.000000|1.000000|1.00|1.51
ATB|ANTIBIOTICE S.A.|671338040|2.9200|0.50|1.000000|1.000000|1.00|1.34
AQ|AQUILA PART PROD COM|1200002400|1.3500|0.50|1.000000|1.000000|1.00|1.11
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3530|1.00|1.000000|1.000000|1.00|1.04
PE|Premier Energy PLC|125001250|20.2200|0.30|1.000000|1.000000|1.00|1.04
TTS|TTS (TRANSPORT TRADE SERVICES)|180000000|6.0000|0.70|1.000000|1.000000|1.00|1.03
TRP|TERAPLAST SA|2179000358|0.4780|0.60|1.000000|1.000000|1.00|0.86
SFG|Sphera Franchise Group|38799340|39.0000|0.40|1.000000|1.000000|1.00|0.83
WINE|PURCARI WINERIES PUBLIC COMPANY LIMITED|40353294|14.8200|0.90|1.000000|1.000000|1.00|0.74
BVB|BURSA DE VALORI BUCURESTI SA|8049246|53.4000|1.00|1.000000|1.100000|1.00|0.65
AROBS|AROBS TRANSILVANIA SOFTWARE|1045552330|0.8740|0.50|1.000000|1.000000|1.00|0.63
COTE|CONPET SA|8657528|79.8000|0.40|1.000000|1.000000|1.00|0.38
IMP|IMPACT DEVELOPER & CONTRACTOR S.A.|2365679951|0.2120|0.30|1.000000|1.000000|1.00|0.21
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.1960|0.60|1.000000|1.000000|1.00|0.10

BET-XT
9/2/2024
Operational adjustment BVB
SNP|OMV PETROM S.A.|62311667058|0.7595|0.30|0.786000|1.000000|1.00|15.16
TLV|BANCA TRANSILVANIA S.A.|798658233|29.0000|1.00|0.414000|1.148025|1.00|14.95
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|121.9000|0.20|0.975000|1.000000|1.00|14.52
SNG|S.N.G.N. ROMGAZ S.A.|3854224000|5.7400|0.30|1.000000|1.000000|1.00|9.02
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|21.4500|0.40|1.000000|1.000000|1.00|8.12
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|44.1000|0.20|1.000000|1.000000|1.00|3.61
DIGI|Digi Communications N.V.|100000000|63.6000|0.40|1.000000|1.000000|1.00|3.46
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|346443597|14.3000|0.50|1.000000|1.000000|1.00|3.36
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|23.3500|0.50|1.000000|1.000000|1.00|2.99
M|MedLife S.A.|531481968|5.8800|0.70|1.000000|1.000000|1.00|2.97
ONE|ONE UNITED PROPERTIES|3797654315|0.6460|0.50|1.000000|1.315274|1.00|2.19
LION|LION CAPITAL S.A.|507510056|2.7700|1.00|1.000000|1.000000|1.00|1.91
EVER|EVERGENT INVESTMENTS S.A.|961753592|1.4600|1.00|1.000000|1.000000|1.00|1.91
SIF4|LONGSHIELD INVESTMENT GROUP S.A.|784645201|1.7300|1.00|1.000000|1.000000|1.00|1.84
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|45.7000|0.40|1.000000|1.000000|1.00|1.82
FP|FONDUL PROPRIETATEA|5668806128|0.3830|0.60|1.000000|1.000000|1.00|1.77
INFINITY|INFINITY CAPITAL INVESTMENTS S.A.|500000000|2.2200|1.00|1.000000|1.000000|1.00|1.51
ATB|ANTIBIOTICE S.A.|671338040|2.9500|0.50|1.000000|1.000000|1.00|1.35
TTS|TTS (TRANSPORT TRADE SERVICES)|60000000|7.1800|0.70|1.000000|3.000000|1.00|1.23
AQ|AQUILA PART PROD COM|1200002400|1.3850|0.50|1.000000|1.000000|1.00|1.13
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3540|1.00|1.000000|1.000000|1.00|1.04
TRP|TERAPLAST SA|2179000358|0.4890|0.60|1.000000|1.000000|1.00|0.87
SFG|Sphera Franchise Group|38799340|40.4000|0.40|1.000000|1.000000|1.00|0.85
BVB|BURSA DE VALORI BUCURESTI SA|8049246|57.6000|1.00|1.000000|1.100000|1.00|0.69
WINE|PURCARI WINERIES PUBLIC COMPANY LIMITED|40117500|15.2400|0.80|1.000000|1.000000|1.00|0.66
COTE|CONPET SA|8657528|83.8000|0.40|1.000000|1.000000|1.00|0.39
AROBS|AROBS TRANSILVANIA SOFTWARE|871293609|0.8740|0.30|1.000000|1.000000|1.00|0.31
IMP|IMPACT DEVELOPER & CONTRACTOR S.A.|2365679951|0.2190|0.30|1.000000|1.000000|1.00|0.21
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.1925|0.60|1.000000|1.000000|1.00|0.10
ROCE|ROMCARBON SA|528244192|0.1560|0.40|1.000000|1.000000|1.00|0.04

BET-XT
8/23/2024
Operational adjustment TTS
SNP|OMV PETROM S.A.|62311667058|0.7615|0.30|0.786000|1.000000|1.00|14.95
TLV|BANCA TRANSILVANIA S.A.|798658233|28.9500|1.00|0.414000|1.148025|1.00|14.68
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|124.4000|0.20|0.975000|1.000000|1.00|14.58
SNG|S.N.G.N. ROMGAZ S.A.|3854224000|5.9600|0.30|1.000000|1.000000|1.00|9.21
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|21.8000|0.40|1.000000|1.000000|1.00|8.12
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|346443597|15.9600|0.50|1.000000|1.000000|1.00|3.69
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|45.0000|0.20|1.000000|1.000000|1.00|3.63
DIGI|Digi Communications N.V.|100000000|62.8000|0.40|1.000000|1.000000|1.00|3.36
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|24.0000|0.50|1.000000|1.000000|1.00|3.02
M|MedLife S.A.|531481968|6.0200|0.70|1.000000|1.000000|1.00|2.99
ONE|ONE UNITED PROPERTIES|3797654315|0.6400|0.50|1.000000|1.315274|1.00|2.14
LION|LION CAPITAL S.A.|507510056|2.7900|1.00|1.000000|1.000000|1.00|1.89
TEL|C.N.T.E.E. TRANSELECTRICA|73303142|47.8000|0.40|1.000000|1.000000|1.00|1.87
EVER|EVERGENT INVESTMENTS S.A.|961753592|1.4550|1.00|1.000000|1.000000|1.00|1.87
FP|FONDUL PROPRIETATEA|5668806128|0.3980|0.60|1.000000|1.000000|1.00|1.81
SIF4|LONGSHIELD INVESTMENT GROUP S.A.|784645201|1.6750|1.00|1.000000|1.000000|1.00|1.76
INFINITY|INFINITY CAPITAL INVESTMENTS S.A.|500000000|2.0600|1.00|1.000000|1.000000|1.00|1.38
TTS|TTS (TRANSPORT TRADE SERVICES)|60000000|8.1000|0.70|1.000000|3.000000|1.00|1.36
ATB|ANTIBIOTICE S.A.|671338040|2.9500|0.50|1.000000|1.000000|1.00|1.32
AQ|AQUILA PART PROD COM|1200002400|1.4100|0.50|1.000000|1.000000|1.00|1.13
TRANSI|TRANSILVANIA INVESTMENTS ALLIANCE S.A.|2162443797|0.3680|1.00|1.000000|1.000000|1.00|1.06
TRP|TERAPLAST SA|2179000358|0.5160|0.60|1.000000|1.000000|1.00|0.90
SFG|Sphera Franchise Group|38799340|40.8000|0.40|1.000000|1.000000|1.00|0.85
BVB|BURSA DE VALORI BUCURESTI SA|8049246|63.5000|1.00|1.000000|1.000000|1.00|0.68
WINE|PURCARI WINERIES PUBLIC COMPANY LIMITED|40117500|15.4200|0.80|1.000000|1.000000|1.00|0.66
COTE|CONPET SA|8657528|84.8000|0.40|1.000000|1.000000|1.00|0.39
AROBS|AROBS TRANSILVANIA SOFTWARE|871293609|0.9440|0.30|1.000000|1.000000|1.00|0.33
IMP|IMPACT DEVELOPER & CONTRACTOR S.A.|2365679951|0.2270|0.30|1.000000|1.000000|1.00|0.22
BNET|BITTNET SYSTEMS SA BUCURESTI|634176714|0.1930|0.60|1.000000|1.000000|1.00|0.10
ROCE|ROMCARBON SA|528244192|0.1625|0.40|1.000000|1.000000|1.00|0.05

BET-XT
8/2/2024
Operational adjustment ONE
SNP|OMV PETROM S.A.|62311667058|0.7860|0.30|0.786000|1.000000|1.00|15.45
TLV|BANCA TRANSILVANIA S.A.|798658233|28.5000|1.00|0.414000|1.148025|1.00|14.48
H2O|S.P.E.E.H. HIDROELECTRICA S.A.|449802567|122.0000|0.20|0.975000|1.000000|1.00|14.32
SNG|S.N.G.N. ROMGAZ S.A.|3854224000|5.9000|0.30|1.000000|1.000000|1.00|9.13
BRD|BRD - GROUPE SOCIETE GENERALE S.A.|696901518|21.8500|0.40|1.000000|1.000000|1.00|8.15
SNN|S.N. NUCLEARELECTRICA S.A.|301643894|46.6000|0.20|1.000000|1.000000|1.00|3.76
EL|SOCIETATEA ENERGETICA ELECTRICA S.A.|346443597|15.9000|0.50|1.000000|1.000000|1.00|3.69
DIGI|Digi Communications N.V.|100000000|62.8000|0.40|1.000000|1.000000|1.00|3.36
TGN|S.N.T.G.N. TRANSGAZ S.A.|188381504|24.3500|0.50|1.000000|1.000000|1.00|3.07
M|MedLife S.A.|531481968|5.6900|0.70|1.000000|1.000000|1.00|2.83
ONE|ONE UNITED PROPERTIES|3797654315|0.6450|0.50|1.000000|1.315274|1.00|2.16
LION|LION CAPITAL S.A.|507510056|2.8300|1.00|1.000000|1.000000|1.00|1.92
FP|FONDUL PROPRIETATEA|5668806128|0.4170|0.60|1.000000|1.000000|1.00|1.90
EVER|EVERGENT INVESTMENTS S.A.|961753592|1.4700|1.00|1.000000|1.000000|1.00|1.89
