BETAeRO
2/9/2024
Operational adjustment LIH
SMTL|SIMTEL TEAM|7887873|65.8000|0.30|1.000000|1.000000|1.00|13.52
PRSN|PROSPECTIUNI SA BUCURESTI|718048725|0.2460|0.50|1.000000|1.000000|1.00|7.67
HAI|Holde Agri Invest S.A. - Clasa A|102130890|1.0100|0.80|1.000000|1.000000|1.00|7.17
DN|DN Agrar Group|159094224|1.5950|0.30|1.000000|1.000000|1.00|6.61
ROC1|ROCA INDUSTRY HOLDINGROCK1 S.A.|17694573|8.9200|0.40|1.000000|1.000000|1.00|5.48
MET|META ESTATE TRUST|93491736|0.7300|0.80|1.000000|1.000000|1.00|4.74
BENTO|2B Intelligent Soft|13200000|12.4000|0.30|1.000000|1.033750|1.00|4.41
MACO|MACOFIL SA TG. JIU|3613499|20.6000|0.60|1.000000|1.000000|1.00|3.88
AG|AGROLAND BUSINESS SYSTEM|89978992|1.2200|0.40|1.000000|1.000000|1.00|3.81
BRNA|ROMNAV SA BRAILA|2171789|92.5000|0.20|1.000000|1.000000|1.00|3.49
AST|ARCTIC STREAM|4191300|31.4000|0.30|1.000000|1.000000|1.00|3.43
ELZY|ELECTROPRECIZIA SA Sacele|4995457|14.3000|0.50|1.000000|1.000000|1.00|3.10
IPRU|IPROEB SA Bistrita|125240737|0.9200|0.30|1.000000|1.000000|1.00|3.00
FOJE|FORAJ SONDE SA VIDELE|11326626|14.3000|0.20|1.000000|1.000000|1.00|2.81
GSH|Grup Serban Holding|180089656|1.6600|0.10|1.000000|1.000000|1.00|2.60
MILK|AGROSERV MARIUTA|10386120|6.9000|0.40|1.000000|1.000000|1.00|2.49
NRF|NOROFERT S.A.|17147880|4.1500|0.40|1.000000|1.000000|1.00|2.47
CC|CONNECTIONS CONSULT S.A.|13081999|6.6000|0.30|1.000000|1.000000|1.00|2.25
HUNT|IHUNT TECHNOLOGY IMPORT-EXPORT S.A.|75200000|0.5600|0.50|1.000000|1.000000|1.00|1.83
CODE|Softbinator Technologies|10520421|2.3400|0.40|1.000000|2.000000|1.00|1.71
LIH|LIFE IS HARD S.A.|29509206|2.2000|0.30|1.000000|1.002322|1.00|1.70
ALW|VISUAL FAN|6666600|13.7000|0.20|1.000000|1.000000|1.00|1.59
ASC|ASCENDIA SA|11721801|4.7500|0.30|1.000000|1.000000|1.00|1.45
2P|2PERFORMANT NETWORK|13033043|2.5500|0.50|1.000000|1.000000|1.00|1.44
MAMA|MAGAZIN UNIVERSAL MARAMURES SA BAIA MARE|153908692|0.2760|0.30|1.000000|1.000000|1.00|1.11
SPX|SIPEX COMPANY|399893481|0.3080|0.10|1.000000|1.000000|1.00|1.07
BONA|BONAS IMPORT EXPORT|11797276|1.3400|0.50|1.000000|1.000000|1.00|0.69
UARG|ARGUS SA Constanta|35780466|2.0200|0.10|1.000000|1.000000|1.00|0.63
CACU|SIFI CJ LOGISTIC SA|985733|31.8000|0.20|1.000000|1.000000|1.00|0.54
CHRD|CHROMOSOME DYNAMICS|793320|18.3000|0.40|1.000000|1.000000|1.00|0.50
CLAIM|AIR CLAIM|4400000|4.3600|0.30|1.000000|1.000000|1.00|0.50
REIT|Star Residence Invest|76556472|0.1440|0.50|1.000000|1.000000|1.00|0.48
AAB|AGROLAND AGRIBUSINESS|5695730|4.1400|0.20|1.000000|1.000000|1.00|0.41
FRB|FIREBYTE GAMES|41822008|0.2220|0.50|1.000000|1.000000|1.00|0.40
ADISS|ADISS|16980000|0.8900|0.30|1.000000|1.000000|1.00|0.39
MAM|MAMBRICOLAJ S.A.|8465000|2.3000|0.20|1.000000|1.000000|1.00|0.34
BIOW|VIFRANA|50218357|0.1550|0.40|1.000000|1.000000|1.00|0.27

BETAeRO
12/11/2023
Operational adjustment CODE
SMTL|SIMTEL TEAM|7887873|42.8000|0.30|1.000000|1.000000|1.00|9.95
HAI|Holde Agri Invest S.A. - Clasa A|102130890|1.0200|0.80|1.000000|1.000000|1.00|8.19
ROC1|ROCA INDUSTRY HOLDINGROCK1 S.A.|17694573|9.3200|0.40|1.000000|1.000000|1.00|6.48
DN|DN Agrar Group|159094224|1.3150|0.30|1.000000|1.000000|1.00|6.17
PRSN|PROSPECTIUNI SA BUCURESTI|718048725|0.1715|0.50|1.000000|1.000000|1.00|6.05
MET|META ESTATE TRUST|87035241|0.7900|0.80|1.000000|1.074183|1.00|5.81
BENTO|2B Intelligent Soft|13200000|11.6500|0.30|1.000000|1.033750|1.00|4.69
AG|AGROLAND BUSINESS SYSTEM|89978992|1.2250|0.40|1.000000|1.000000|1.00|4.33
AST|ARCTIC STREAM|4191300|30.0000|0.30|1.000000|1.000000|1.00|3.71
ELZY|ELECTROPRECIZIA SA Sacele|4995457|14.5000|0.50|1.000000|1.000000|1.00|3.56
MACO|MACOFIL SA TG. JIU|3613499|16.4000|0.60|1.000000|1.000000|1.00|3.49
BRNA|ROMNAV SA BRAILA|2171789|81.5000|0.20|1.000000|1.000000|1.00|3.48
IPRU|IPROEB SA Bistrita|125240737|0.8250|0.30|1.000000|1.000000|1.00|3.05
FOJE|FORAJ SONDE SA VIDELE|11326626|13.6000|0.20|1.000000|1.000000|1.00|3.03
GSH|Grup Serban Holding|180089656|1.6500|0.10|1.000000|1.000000|1.00|2.92
NRF|NOROFERT S.A.|17147880|4.2700|0.40|1.000000|1.000000|1.00|2.88
MILK|AGROSERV MARIUTA|10386120|6.3400|0.40|1.000000|1.000000|1.00|2.59
CC|CONNECTIONS CONSULT S.A.|13081999|5.4500|0.30|1.000000|1.000000|1.00|2.10
LIH|LIFE IS HARD S.A.|29509206|2.2600|0.30|1.000000|1.000000|1.00|1.97
ASC|ASCENDIA SA|11721801|5.0600|0.30|1.000000|1.000000|1.00|1.75
2P|2PERFORMANT NETWORK|13033043|2.4500|0.50|1.000000|1.000000|1.00|1.57
HUNT|IHUNT TECHNOLOGY IMPORT-EXPORT S.A.|75200000|0.4190|0.50|1.000000|1.000000|1.00|1.55
CODE|Softbinator Technologies|10266900|2.4100|0.30|1.000000|2.000000|1.00|1.46
MAMA|MAGAZIN UNIVERSAL MARAMURES SA BAIA MARE|153908692|0.2800|0.30|1.000000|1.000000|1.00|1.27
ALW|VISUAL FAN|6666600|9.0000|0.20|1.000000|1.000000|1.00|1.18
SPX|SIPEX COMPANY|399893481|0.3000|0.10|1.000000|1.000000|1.00|1.18
BONA|BONAS IMPORT EXPORT|11797276|1.5300|0.50|1.000000|1.000000|1.00|0.89
UARG|ARGUS SA Constanta|35780466|2.0000|0.10|1.000000|1.000000|1.00|0.70
CACU|SIFI CJ LOGISTIC SA|985733|28.6000|0.20|1.000000|1.000000|1.00|0.55
REIT|Star Residence Invest|76556472|0.1450|0.50|1.000000|1.000000|1.00|0.55
